user id [rec1, rec2, rec3, rec4, rec5]
---------------------------------------
461 ['64', '318', '178', '12', '408']
118 ['134', '127', '963', '190', '483']
864 ['251', '488', '199', '169', '480']
795 ['408', '64', '483', '114', '169']
835 ['169', '408', '178', '64', '114']
474 ['408', '169', '114', '251', '272']
301 ['313', '178', '114', '479', '169']
405 ['268', '488', '125', '607', '117']
159 ['318', '178', '64', '114', '196']
500 ['408', '169', '474', '114', '657']
846 ['313', '408', '483', '318', '124']
666 ['408', '483', '285', '272', '178']
318 ['98', '515', '483', '313', '603']
796 ['515', '963', '114', '272', '165']
622 ['483', '963', '114', '603', '657']
373 ['515', '963', '169', '923', '483']
905 ['408', '178', '114', '169', '603']
618 ['178', '50', '603', '480', '488']
141 ['318', '64', '178', '513', '316']
486 ['127', '318', '474', '657', '169']
95 ['963', '12', '318', '169', '427']
921 ['64', '318', '22', '12', '515']
214 ['169', '474', '178', '657', '513']
456 ['408', '318', '178', '313', '64']
92 ['114', '127', '483', '603', '657']
790 ['603', '408', '313', '114', '178']
361 ['408', '169', '127', '483', '654']
632 ['408', '313', '169', '963', '178']
61 ['50', '483', '408', '318', '313']
280 ['189', '515', '474', '114', '408']
292 ['114', '318', '12', '89', '474']
339 ['408', '285', '169', '114', '611']
435 ['114', '657', '483', '178', '408']
880 ['408', '178', '483', '488', '134']
577 ['178', '963', '483', '272', '251']
291 ['408', '127', '313', '483', '318']
299 ['64', '9', '357', '427', '657']
747 ['251', '603', '657', '137', '246']
907 ['134', '176', '127', '963', '190']
385 ['483', '178', '513', '519', '189']
59 ['408', '114', '647', '1019', '251']
868 ['127', '285', '134', '603', '357']
393 ['64', '174', '178', '515', '963']
271 ['174', '483', '64', '96', '251']
395 ['408', '169', '483', '285', '114']
378 ['127', '408', '134', '515', '483']
542 ['178', '483', '313', '408', '603']
151 ['313', '251', '496', '479', '205']
650 ['408', '169', '318', '114', '178']
392 ['64', '318', '603', '483', '408']
924 ['169', '483', '603', '178', '515']
450 ['318', '963', '251', '515', '408']
144 ['483', '603', '178', '511', '114']
875 ['408', '178', '318', '483', '114']
889 ['114', '251', '136', '194', '963']
145 ['210', '22', '204', '82', '178']
671 ['313', '50', '483', '318', '172']
49 ['408', '175', '474', '285', '169']
243 ['408', '483', '169', '50', '64']
7 ['408', '169', '285', '114', '251']
882 ['483', '64', '251', '603', '169']
892 ['603', '408', '963', '169', '114']
